epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.467,1.40681,2.01216,1.54685,0.24642,0.29883,0.18673,0.09989,1.65133,2.26175,1.77116,0.000332652,0.000332652,0.000332652
2,679.535,1.45453,1.91412,1.60137,0.24811,0.23247,0.19695,0.10651,1.6332,2.18746,1.77296,0.000633019,0.000633019,0.000633019
3,1013.11,1.47404,1.86155,1.59404,0.26002,0.2584,0.19951,0.10444,1.61542,2.10663,1.76728,0.000900386,0.000900386,0.000900386
4,1346.23,1.43412,1.76416,1.57717,0.37582,0.29767,0.2957,0.18107,1.45247,1.72452,1.63484,0.0008515,0.0008515,0.0008515
5,1677.89,1.37927,1.69183,1.54074,0.38451,0.3157,0.31149,0.19027,1.43329,1.68443,1.61245,0.000802,0.000802,0.000802
6,2009.97,1.33986,1.6249,1.52115,0.39462,0.34833,0.33671,0.2033,1.37391,1.61655,1.55596,0.0007525,0.0007525,0.0007525
7,2342.06,1.32805,1.55537,1.49871,0.43775,0.34208,0.36524,0.23789,1.3366,1.52078,1.50108,0.000703,0.000703,0.000703
8,2673.91,1.2962,1.4981,1.48092,0.43375,0.3816,0.37522,0.23558,1.34568,1.5309,1.50957,0.0006535,0.0006535,0.0006535
9,3004.7,1.2737,1.43849,1.46083,0.45499,0.37755,0.37313,0.24409,1.27289,1.42947,1.47223,0.000604,0.000604,0.000604
10,3335.73,1.2573,1.38262,1.44751,0.49265,0.39019,0.40972,0.26786,1.27685,1.31696,1.46179,0.0005545,0.0005545,0.0005545
11,3667.42,1.30272,1.46322,1.52453,0.48862,0.38304,0.42179,0.28299,1.25029,1.34908,1.46177,0.000505,0.000505,0.000505
12,3997.53,1.26823,1.39971,1.50533,0.49,0.39932,0.42357,0.28585,1.22269,1.27741,1.4333,0.0004555,0.0004555,0.0004555
13,4327.17,1.23822,1.34411,1.47757,0.50886,0.41879,0.44028,0.29237,1.22156,1.24522,1.41164,0.000406,0.000406,0.000406
14,4656.82,1.23126,1.29396,1.46013,0.53001,0.40774,0.45948,0.31571,1.20135,1.22624,1.41294,0.0003565,0.0003565,0.0003565
15,4987.19,1.21034,1.23055,1.44305,0.52038,0.41235,0.45605,0.31146,1.19589,1.19705,1.41009,0.000307,0.000307,0.000307
16,5316.98,1.17953,1.18241,1.42928,0.54891,0.44322,0.49603,0.34268,1.15238,1.12112,1.38231,0.0002575,0.0002575,0.0002575
17,5647.03,1.1655,1.14215,1.41117,0.57016,0.41818,0.49366,0.34463,1.15727,1.13078,1.36461,0.000208,0.000208,0.000208
18,5976.68,1.14352,1.0997,1.39498,0.54745,0.45312,0.49824,0.34482,1.15607,1.11702,1.35789,0.0001585,0.0001585,0.0001585
19,6305.38,1.13366,1.04685,1.38215,0.55523,0.43953,0.49835,0.34441,1.1603,1.08712,1.36054,0.000109,0.000109,0.000109
20,6633.12,1.10494,0.9953,1.35974,0.57881,0.45028,0.51719,0.35968,1.13765,1.05642,1.34438,5.95e-05,5.95e-05,5.95e-05
