epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,335.898,1.0389,0.84636,1.28296,0.568,0.4795,0.51565,0.35774,1.14772,1.05456,1.3606,0.000332652,0.000332652,0.000332652
2,665.09,1.03724,0.87239,1.2824,0.52959,0.45683,0.4725,0.32411,1.17974,1.16296,1.38782,0.000633019,0.000633019,0.000633019
3,993.027,1.09801,0.94343,1.30825,0.53026,0.42681,0.45697,0.30622,1.24014,1.27011,1.41771,0.000900386,0.000900386,0.000900386
4,1320.75,1.10529,0.94464,1.31709,0.56026,0.46934,0.49453,0.34266,1.19589,1.13087,1.40804,0.0008515,0.0008515,0.0008515
5,1648.44,1.09404,0.94557,1.3122,0.58419,0.44718,0.50498,0.34626,1.2094,1.11554,1.40098,0.000802,0.000802,0.000802
6,1975.93,1.0763,0.94147,1.30902,0.53423,0.43928,0.47785,0.32372,1.22292,1.21413,1.41269,0.0007525,0.0007525,0.0007525
7,2303.4,1.08428,0.93109,1.30137,0.52692,0.49562,0.49557,0.33636,1.20086,1.11713,1.38254,0.000703,0.000703,0.000703
8,2630.92,1.07075,0.91024,1.30017,0.57359,0.4607,0.5134,0.34719,1.20814,1.127,1.39182,0.0006535,0.0006535,0.0006535
9,2958.23,1.05674,0.88086,1.28673,0.57042,0.48125,0.52878,0.36396,1.18259,1.06821,1.36244,0.000604,0.000604,0.000604
10,3286.1,1.05468,0.87095,1.28567,0.57149,0.46782,0.51454,0.35164,1.20774,1.09115,1.39362,0.0005545,0.0005545,0.0005545
11,3614.12,1.0453,0.81166,1.29559,0.60986,0.44744,0.51685,0.35519,1.18483,1.06275,1.38541,0.000505,0.000505,0.000505
12,3940.95,1.02483,0.79164,1.28288,0.57828,0.45057,0.50563,0.34811,1.18654,1.04231,1.38634,0.0004555,0.0004555,0.0004555
13,4267.6,1.007,0.76402,1.27103,0.57565,0.45461,0.50415,0.35104,1.18323,1.07476,1.38937,0.000406,0.000406,0.000406
14,4594.25,1.00237,0.73704,1.25706,0.5916,0.47914,0.52664,0.36377,1.17326,1.02315,1.38116,0.0003565,0.0003565,0.0003565
15,4921.2,0.98768,0.7163,1.25022,0.58954,0.49562,0.53082,0.36537,1.1707,1.03288,1.37365,0.000307,0.000307,0.000307
16,5248.17,0.96661,0.68992,1.24011,0.58524,0.48924,0.5314,0.37099,1.14836,1.01516,1.36519,0.0002575,0.0002575,0.0002575
17,5575.13,0.96314,0.68117,1.23724,0.60794,0.4619,0.5383,0.3742,1.15996,1.0099,1.37589,0.000208,0.000208,0.000208
18,5901.95,0.95206,0.66354,1.22909,0.57444,0.50941,0.53845,0.37161,1.1731,1.00314,1.37661,0.0001585,0.0001585,0.0001585
19,6228.6,0.95,0.65257,1.2248,0.59715,0.49671,0.53588,0.3734,1.15439,0.99476,1.36117,0.000109,0.000109,0.000109
20,6555.51,0.93738,0.63797,1.2183,0.61597,0.48716,0.53973,0.37605,1.1527,0.98537,1.36204,5.95e-05,5.95e-05,5.95e-05
